Linear Regression,Ridge Regression,Linear SVM,SVM,XGBoost,AdaBoost
0.906740282681242,0.9067432056130881,0.8951281030438445,0.9338319113700837,0.9067243919388535,0.8642229158248407
0.8800070589637445,0.880000902073598,0.8575745736370948,0.8983324005660492,0.88949450182396,0.8391528585390287
0.9012636605597184,0.9012620031293077,0.8801288343252405,0.9325946525079469,0.9098137479021964,0.8398204805948487
0.903287320057597,0.9032862252834932,0.8797673068153158,0.9398462294683451,0.9140027636078414,0.8542548977207878
0.9087254225834788,0.9087262752860159,0.8834344799123193,0.9386032674891169,0.9018637787437681,0.8662498033068875
0.8880507664106757,0.8880477231429568,0.8651573503468764,0.9131465454562969,0.8864944812955268,0.8245367836407197
0.8916607834794834,0.8916599126883136,0.8796857853222071,0.9121719868585014,0.8901510733933239,0.8266451821592444
0.8863875753262553,0.8863866739023712,0.8594481360797028,0.9113597850418893,0.8913558523525063,0.8366198820130081
0.9143474032681519,0.914351752484343,0.8925272982126791,0.9402387705357607,0.9292708383950407,0.8532243503409551
0.9001820796465532,0.9001869862999464,0.8764408798757928,0.940674541857304,0.8629260980872194,0.8366952049479073
0.8864530815434399,0.8864562940884249,0.8659955671326982,0.9122699028581608,0.8752393185483904,0.8485214722823875
0.9080756085116914,0.9080787009573361,0.8944187769102182,0.9363848986611155,0.9263603033620565,0.8607513898639053
0.8953724461730688,0.8953684954358139,0.8660954231265451,0.9228741589147392,0.8952470695581394,0.8393328810202533
0.8897812665474466,0.88978476729946,0.8783938035318539,0.9133795904179454,0.8867013533823411,0.8432149959033799
0.9000507124684247,0.9000601131743978,0.8825151526384927,0.9374619453008721,0.8620501265513211,0.860444168520562
0.8807025475846202,0.8807088913145102,0.866570418333688,0.9099809539083641,0.8792561775760449,0.8266220024340779
0.8957273776518897,0.8957286113177113,0.8809252096064891,0.9254342701388891,0.9023612531429598,0.862218178893938
0.9085850502003356,0.9085827159348774,0.8848357863281308,0.941378189523464,0.9249963448594903,0.8559626876297082
0.8846526871688425,0.8846419605017597,0.857585955312985,0.9035823057099479,0.8849155354293773,0.8335645116706176
0.9019799680943033,0.9019854346285339,0.8911067331593752,0.9398376956598121,0.9126469252538154,0.8514712520880483
