time,note,subject,measure,value
2017-01-01,参考指标,参考指标_固定资产投资总额_累计值,%,
2017-02-01,参考指标,参考指标_固定资产投资总额_累计值,%,1345.232
2017-03-01,参考指标,参考指标_固定资产投资总额_累计值,%,2709.4308
2017-04-01,参考指标,参考指标_固定资产投资总额_累计值,%,3940.517
2017-05-01,参考指标,参考指标_固定资产投资总额_累计值,%,5383.5219
2017-06-01,参考指标,参考指标_固定资产投资总额_累计值,%,6922.7855
2017-07-01,参考指标,参考指标_固定资产投资总额_累计值,%,8347.7368
2017-08-01,参考指标,参考指标_固定资产投资总额_累计值,%,10092.1651
2017-09-01,参考指标,参考指标_固定资产投资总额_累计值,%,11934.7345
2017-10-01,参考指标,参考指标_固定资产投资总额_累计值,%,13684.3701
2017-11-01,参考指标,参考指标_固定资产投资总额_累计值,%,15714.4524
2017-12-01,参考指标,参考指标_固定资产投资总额_累计值,%,17440.5655
2018-01-01,参考指标,参考指标_固定资产投资总额_累计值,%,
2018-02-01,参考指标,参考指标_固定资产投资总额_累计值,%,1409.803136
2018-03-01,参考指标,参考指标_固定资产投资总额_累计值,%,2831.355186
2018-04-01,参考指标,参考指标_固定资产投资总额_累计值,%,4129.661816
2018-05-01,参考指标,参考指标_固定资产投资总额_累计值,%,5668.848560699999
2018-06-01,参考指标,参考指标_固定资产投资总额_累计值,%,7303.538702499999
2018-07-01,参考指标,参考指标_固定资产投资总额_累计值,%,8848.601008000001
2018-08-01,参考指标,参考指标_固定资产投资总额_累计值,%,10758.247996600001
2018-09-01,参考指标,参考指标_固定资产投资总额_累计值,%,12794.035384
2018-10-01,参考指标,参考指标_固定资产投资总额_累计值,%,14710.6978575
2018-11-01,参考指标,参考指标_固定资产投资总额_累计值,%,16814.464068
2018-12-01,参考指标,参考指标_固定资产投资总额_累计值,%,18661.405085000002
2019-01-01,参考指标,参考指标_固定资产投资总额_累计值,%,
2019-02-01,参考指标,参考指标_固定资产投资总额_累计值,%,1490.1619147519998
2019-03-01,参考指标,参考指标_固定资产投资总额_累计值,%,3018.2246282759997
2019-04-01,参考指标,参考指标_固定资产投资总额_累计值,%,4393.960172224
2019-05-01,参考指标,参考指标_固定资产投资总额_累计值,%,6008.979474342
2019-06-01,参考指标,参考指标_固定资产投资总额_累计值,%,7749.054563352499
2019-07-01,参考指标,参考指标_固定资产投资总额_累计值,%,9344.122664448001
2019-08-01,参考指标,参考指标_固定资产投资总额_累计值,%,11306.9186444266
2019-09-01,参考指标,参考指标_固定资产投资总额_累计值,%,13497.70733012
2019-10-01,参考指标,参考指标_固定资产投资总额_累计值,%,15519.786239662499
2019-11-01,参考指标,参考指标_固定资产投资总额_累计值,%,17688.816199536002
2019-12-01,参考指标,参考指标_固定资产投资总额_累计值,%,19725.105174845
2020-01-01,参考指标,参考指标_固定资产投资总额_累计值,%,
2020-02-01,参考指标,参考指标_固定资产投资总额_累计值,%,834.4906722611199
2020-03-01,参考指标,参考指标_固定资产投资总额_累计值,%,2532.2904631235638
2020-04-01,参考指标,参考指标_固定资产投资总额_累计值,%,3936.9883143127045
2020-05-01,参考指标,参考指标_固定资产投资总额_累计值,%,5696.512541676216
2020-06-01,参考指标,参考指标_固定资产投资总额_累计值,%,7764.552672479204
2020-07-01,参考指标,参考指标_固定资产投资总额_累计值,%,9446.908013756929
2020-08-01,参考指标,参考指标_固定资产投资总额_累计值,%,11533.057017315132
2020-09-01,参考指标,参考指标_固定资产投资总额_累计值,%,13835.150013372999
2020-10-01,参考指标,参考指标_固定资产投资总额_累计值,%,16031.93918557136
2020-11-01,参考指标,参考指标_固定资产投资总额_累计值,%,18378.680031317905
2020-12-01,参考指标,参考指标_固定资产投资总额_累计值,%,20494.384276663954
2021-01-01,参考指标,参考指标_固定资产投资总额_累计值,%,
2021-02-01,参考指标,参考指标_固定资产投资总额_累计值,%,1271.7637845259467
