线性回归,决策树,SVM,Lasso,XGBoost,AdaBoost,变量
0.859857316699195,0.6942918276715049,0.7132393964094879,0.7593927720991951,0.8142111920064338,0.7592626517961492,10cm湿度(kg/m2)
0.6409093528146244,0.5636026625967161,0.6017290114900412,0.631406050698814,0.6667751824603825,0.6779768353736909,10cm湿度(kg/m2)
0.7728926818782915,0.6155276326817988,0.5556961738315576,0.6463094843116688,0.7747983019948491,0.6907915011780592,10cm湿度(kg/m2)
0.8569332030680976,0.6291079471831126,0.5810572616231464,0.7065553296317557,0.739617786854353,0.7970621969724045,10cm湿度(kg/m2)
0.7560637963854433,0.5428830616257192,0.6707445322479979,0.731239132900493,0.7009531417276688,0.7323821752778481,10cm湿度(kg/m2)
0.780367966207357,0.5371353115313324,0.5971523519767874,0.617397042350506,0.752212949695862,0.7272871301268455,10cm湿度(kg/m2)
0.818500787355184,0.6837180690480078,0.5925595189429735,0.6258750887328721,0.8050926338442398,0.7756393692444968,10cm湿度(kg/m2)
0.80324748819296,0.3847944806123359,0.5777528359464814,0.706584688301812,0.7624741927922184,0.7153091972047803,10cm湿度(kg/m2)
0.8229477935546383,0.6254000251587658,0.6492829511793914,0.7095282052605303,0.7053274522402703,0.7408042883358104,10cm湿度(kg/m2)
0.784032142071176,0.47484727656529957,0.6025949455245152,0.6867895138547917,0.7835510468860966,0.8238592476231961,10cm湿度(kg/m2)
