,序列,AIC,BIC,HQIC
0,土壤蒸发量(W/m2),"(4, 6)","(2, 4)","(2, 4)"
1,土壤蒸发量(mm),"(4, 6)","(2, 4)","(2, 4)"
2,平均气温(℃),"(11, 0)","(11, 0)","(11, 0)"
3,平均最高气温(℃),"(6, 7)","(2, 5)","(6, 7)"
4,平均最低气温(℃),"(11, 0)","(2, 4)","(11, 0)"
5,平均能见度(km),"(2, 4)","(0, 0)","(2, 4)"
6,平均风速(knots),"(9, 8)","(11, 0)","(9, 7)"
7,平均最大持续风速(knots),"(6, 9)","(6, 7)","(6, 7)"
8,10cm湿度(kg/m2),"(4, 10)","(2, 2)","(4, 10)"
9,40cm湿度(kg/m2),"(9, 9)","(1, 2)","(1, 2)"
10,100cm湿度(kg/m2),"(10, 10)","(0, 1)","(0, 1)"
11,200cm湿度(kg/m2),"(2, 0)","(2, 0)","(2, 0)"
